#MenusAndUI

sytx901	&Nová Hra
sytx974	Downloading Cross-Save data. Please wait...
sytx975	You are currently not connected to "PSN". Cross-Save data will not be synchronized until you connect.
sytx976	Cross-Save data exists in the current save slot but you do not have the data on this system. Download the latest Cross-Save data? Select "YES" to download Cross-Save data. Select "NO" to start a new game in this slot.
sytx977	The Cross-Save data in this slot is corrupt. Your current local save data will be uploaded as the Cross-Save data.
sytx978	Local save data will be erased. Do you also want to erase the Cross-Save data in this slot?
sytx979	The local save data is too large to be uploaded as Cross-Save data. Cross-Save upload failed.
sytx980	Cross-Save data upload failed. Save the game again with an active Internet connection to upload Cross-Save data.
sytx981	Cross-Save data download failed. Do you want to try to download the Cross-Save data again?
sytx982	Upozornenie
sytx983	Táto hra neukladá svoj stav automaticky. Ulo¾te si prosím hru cez hlavné menu, aby ste nestratili svoj postup.
drcm000	Featuring:
drcm001	Project Leader
drcm002	Lead Artist
drcm003	Lead Programmer
drcm004	Music Composer and Producer
drcm005	Production Manager
drcm006	Programmer
drcm007	Character Animators
drcm008	Background Artists
drcm012	Lead Sound Designer
drcm009	Sound Designers
drcm010	Voice Producer/Director
drcm011	Quality Assurance Tester
drcm012	Lead Sound Designer
demo000	Thanks for playing!
demo001	Restart Demo
demo002	Naèítavam...
popd001	Ukladám
popd002	Prosím èakajte...
popd003	Naèítavam
popd004	Vymaza» Hru?
popd005	Naozaj chcete vymaza» túto ulo¾enú pozíciu?
popd006	Vymazávam...
popd007	Prepísa»?
popd008	Naozaj chcete prepísa» túto ulo¾enú pozíciu?
sytx984	©kálovanie Rozlí¹enia
sytx985	Pokroèilé Osvetlenie
sytx987	Natívne
sytx986	Najni¾¹ie

# PC Keyboard stuff

keys001	Pohyb Hore
keys002	Pohyb Dole
keys003	Pohyb Do½ava
keys004	Pohyb Doprava
keys005	Beh
keys006	Preskúma»
keys007	Pou¾i»
keys008	Zodvihnú»
keys009	Inventár
keys010	Zmeni» aktívny objekt
keys011	Preskoèi» vetu v dialógu
keys012	Spôsob renderovania
keys013	Komentáre Autorov

keys100	Kláves je rezervovaný
keys101	Kláves je u¾ priradený
keys102	Stlaète kláves
keys103	Priradi» iný kláves

keys200	Zmena Nastavení Kláves
keys201	NASTAVENIA KLÁVES
keys202	Vráti» pôvodné nastavenia

#ExtraText

utxt009	MAPA
utxt029	ZAÈA« NOVÚ HRU
utxt030	Hodina
utxt031	Hodiny
utxt032	Minúta
utxt033	Minúty
utxt034	SPÄ«
utxt035	ZMAZA«
utxt036	Potvrdi»
utxt037	Zru¹i»
utxt038	Naozaj chcete odstráni» tieto dáta?
utxt050	Naozaj chcete ukonèi» hru?
utxt010	Mo¾nosti
utxt011	Ukonèi» Hru
utxt074	ZVO¼TE SVOJU ULO®ENÚ POZÍCIU
utxt049	Nahrávam...
utxt055	Credits
utxt062	Pomoc
utxt064	Nastavenie Kláves
utxt072	Audio/Video
utxt073	Nastavenia
utxt083	Celá Obrazovka
utxt084	SSAO
utxt085	Tieòovanie
utxt086	Odrazy
utxt087	Anti-Aliasing
utxt088	V-Sync
utxt089	FXAA
utxt090	SSAA 2x
utxt091	SSAA 4x
utxt092	-
utxt107	60 Hz
utxt065	Saved game data for Grim Fandango Remastered
utxt078	No storage device was selected. Your progress will not be saved.
utxt079	Your storage device is no longer available! The game will return to the main menu.
utxt080	The game could not find a valid storage device.
utxt081	There is not enough free space to write save data onto the system storage.
utxt070	Grim Fandango Remastered Save Data
utxt066	Your storage device is no longer available! The game will return to the main menu.
utxt077	Your system storage is no longer available! The game will return to the main menu.
utxt075	Change Profile
utxt093	Up?
utxt094	Left?
utxt095	Down?
utxt096	Right?
utxt097	Move a stick
utxt098	Mouse or Keyboard?
utxt099	Mouse
utxt100	Keyboard
utxt101	Press any button
utxt102	Press any key or mouse button
utxt103	Action 1
utxt104	Action 2
utxt105	Action 3
utxt106	Reset Defaults
utxt019	© 2014 Double Fine Productions, Inc. All rights reserved.
utxt020	Press Any Button to Start
utxt076	Press /kBI_Accept/
rich015	/action/ in /location/
rich001	The Main Menu
rich006	End Credits
rich018	Level
rich019	Time Played
howp003	How To Play
howp022	Pause
howp028	Interaction
howp029	Movement

#LocalizedCredits

crfr0101	FRENCH VERSION PRODUCED BY UBI SOFT
crfr0102	Marketing
crfr0103	Localization coordination
crfr0104	Budget
crfr0105	Translation
crfr0106	Adaptation
crfr0107	Voice management
crfr0108	With voices of
crfr0109	Sound engineers
crfr0110	Post-production manager
crfr0111	Post-production
crfr0112	Graphic department
crfr0113	Test manager
crfr0114	Lead tester
crfr0115	Testers
crfr0116	Special thanks to
crfr0117	and to all the actors
crit0101	Italian version
crit0102	Localization manager
crit0103	Localization coordination
crit0104	Voice management
crit0105	Sound engineers
crde0101	German version
crde0102	Project management
crde0103	Translation
crde0104	Director, Casting, Cast
crde0105	Cutscene Editing
crde0106	Translation manual
crde0107	Script Editing
crde0108	Quality assurance
crde0109	Product Management / Int. coordination
crde0110	Pre-Print Production
crde0111	Layout / Set Packaging
crde0112	Layout / Set user manual
crde0113	Recorded at G & G studios, Kaarst
crde0114	Sound engineering, editing, mixing
crde0115	Arrangement
crde0116	Speaker
crde0117	Also starring:
crbr0101	BRAZILIAN VERSION
crbr0102	Editor in chief
crbr0103	Assistants editors
crbr0104	Translation
crbr0105	Proofreading
crbr0106	Publication
crbr0107	Testing and Quality Control
crbr0108	Sound engineers
crbr0109	Localization coordination
crbr0110	Product manager
crbr0111	Voices

#year1commentary	
coal0101	Tim: Can you imagine actually pulling yourself up a little chain of ties that are as long as the, um... Like--
coal0102	Peter M: Well, that's what's great about-- And then I like the view down.
coal0103	Tim: He's so calm about it, too. He's like, "Hyup hyup hyup hyup, ah! Many stories." I mean part of it is, I guess, he probably won't die.
coal0104	Peter M: He's already dead, I was going to say. He's already dead. So it's really just--
coal0105	Tim: And I was thinking, does he have the muscles to do that? Or else... No, he doesn't have any muscles. He's just a living skeleton. How is he moving? He's magic.
coal0106	Peter M: His spirit is animating, yes.
coco0201	Tim: The computers in the game are, um, I think where you can see Peter Chan's "Twelve Monkeys"-like influence. Like Terry Gilliam mix of, like... I don't know if you call it steampunk, but there's a lot of analog big tube-type things combined with Art Deco and old-fashioned typewriter keyboards.
coco0202	Peter M: Well, they had "steam" and "punk" in those days, right? But they didn't actually call it steampunk, right?
coco0203	Tim: The nineties? I think we might have had steampunk back then. Oh yeah.
coco0204	Peter M: Jeez. See, I told you I was from the "Mad Men" era.
coco0205	Tim: I'm so glad they made a show about you guys.
cofe0101	Tim: I don't know why we chose Robert Frost for the balloon shape, either.
cofe0102	Peter M: Oh, that was genius--
cofe0103	Tim: I just knew that it would be hard to make Robert Frost.
cofe0104	Peter M: Yes! And also because-- I think the whole implication is that the clown is way, way beyond his pay grade, and he has disdain for all those around him. And so he makes shapes that his lowly audience--
cofe0105	Tim: I never even thought about that being a testimony to the skills of the clown. I thought of it as Manny being a smartass. 'cause he asked for it. He's like, "Oh yeah? Can you do Robert Frost?" And then, of course, the clown does it.
cofe0106	Peter M: But, see, that's a Chandler thing, too, because the detective is always smarter than sort of the world that he's in. So he's teasing the clown.
cofe0107	Tim: So to speak.
cofe0108	Peter M: Yeah, so to speak. 'cause he knows the clown knows what Robert Frost looks like.
coga0101	Julian: You hear reverb on the steps, and you hear the reverb on his voice. And that was real-time reverb in a time when we never did that. We always prebaked the files with reverb. Jeff really had to fight for, I think it was, like, five percent of the CPU. But now anything that happens in this garage goes through that reverb. And, like, to modern game folks--audio people--it's just totally basic. No big deal. But back then it was such a big deal! And he really had to jump through hoops for it, and it's so great.
coga0201	Tim: Mark Hamer-- I remember [him] animating Glottis coming out. And he had to put this thing called a lattice on his butt. And so, "What are you working on, Mark?" "Oh, I'm working on the Glottis butt lattice." And he was always working on the Glottis butt lattice to morph and squash and stretch his butt as it came out of the door. And so, three cheers to Mark Hamer and his Glottis butt lattice. Amazing work still remembered to this day.
coha0101	Bret: So this was the first scene in the game that we ever actually did with some test assets. So I had to-- This was when I was proving out, "Okay, yes, we can do this." It was this hallway scene. We had Manny running up and down. We had the security-cam kind of camera switching. We had text on the screen. We had animations. We had geolocation of the sound relative to the camera--the typing was down the hallway. And we had Manny running up and down. It was a really good test scene and it kind of came through at the very last second. Literally, I was compiling code as people ran in the room because I had an awful bug. Um, but this was sort of like proof that, yes, we have all the elements to make this work. This was the first scene ever put together. And notice in the scene Manny hardly ever clips behind anything, and that's partially because I didn't have z-buffers working yet. But it was good enough that when people saw it they were really impressed, and I was kind of surprised because I was like the new guy at LucasArts and I was kind of half-assing my way through this and somehow made everybody really impressed. At that point I thought, "Okay, we can do this."
coha0201	Tim: My writing has changed a lot since this. Like, I was really trying to write good dialogue here, which to me at the time meant a lot of puns and like, um, word play. Like, "This suit is-- This deck of cards is a lot like me: it's ragged around the edges but I've got more suits..." I forget what it is, but everything had to be this kind of, like, bon mot.
coha0202	Peter M: Well, that's kind of Chandleresque, too. I mean, you know...
coha0203	Tim: Kind of, but I think I ease off on it in act two. I think I just start writing-- Or, in year two, there's a lot more just normal talking. Which I think I kind of like a little bit more now. I mean, it's fun to have crazy word play like that but you can just kind of trip over yourself a lot--too much--if you focus on that, I think.
coha0301	Peter M: So is there a reason that a lot of people who are in administrative positions of power have New York accents? Is that a...
coha0302	Tim: Everyone in the, um, jazz era was from New York.
coha0303	Peter M: Well, yeah, that's true.
coha0304	Tim: A lot of people don't know that.
cole0101	Bret: The ties. When Manny later uses the ties to cross over to the roof. [Tim] wanted it to be more like a little, you know, a little bit less adventure game and more sort of skill game, where you had to kind of, you know, line up the ties and throw the lasso and hook it on the thing. And I'll be honest with you, that was technically not something I was prepared to do in any way, shape, or form. It was kind of all I could do to make the rest of the stuff work. So, um, the ties and the beavers were--and actually the shocks on the tree--were all supposed to be a little bit more dynamic than a lot of the canned stuff you typically get in adventure games. We just couldn't do it.
cole0201	Peter M: I always liked the music up on the ledge.
cole0202	Tim: Me too! It was very Bernard Herrmann--"Vertigo."
cole0203	Peter M: And it always made me feel like a little... Maybe it's 'cause I actually have a little bit of vertigo, or whatever you say.
cole0204	Tim: But isn't that-- That happens a lot in "Vertigo"--the movie "Vertigo." Like the, um...
cole0205	Peter M: Yep, yep. Yeah, it probably comes from that.
cole0206	Tim: That dreamy, falling sensation.
cole0207	Peter M: Well, I'm a huge Bernard Herrmann fan. How can you not be? He was the guy who really brought kind of a seriousness of classical music to scoring. I mean, the guys before... There were great composers before him, they were a little more sort of, kind of the entertaining aspect of orchestral music. I think he was more really very serious about it.
colo0101	Bret: Ah, elevator code. Elevator code is the worst, man. Door code in general.
colo0102	Kevin: So there was a door box that you would draw on the ground. That would have data attached to it that would trigger the art and the, uh...
colo0103	Bret: Well, it's like the old-- Like when you walk into a supermarket in the old days, they didn't have a IR thing that was pointing at you. They had like a pad on the ground. You would roll your cart or step on the pad on the ground and it would automatically open the grocery store for you. It's just like that. There's a little invisible box that, uh, you cross that triggers all that stuff.
colo0104	Kevin: And then all the fiddly bits of people step on the box, step off the box, step back on it, while the doors are opening and closing. Those doors were broken for a long time.
colo0201	Peter T: Savvy viewers will note that the lobby is based on a real building in San Francisco with Mexican architecture. Uh, or Mayan Deco architecture. 450 Sutter, yeah, which is an actual building... Which is the inspiration for the whole business. Yeah, San Francisco is kind of a-- There's a lot of Deco-ish stuff around town, and that was a big part of making this world look the way it looked.
como0201	Gaurav: So this was actually the art test I took. I had to make this whole scene in a day.
como0202	Dave: Really?
como0203	Mark: Did they pay you for that?
como0204	Dave: One day?
como0205	Gaurav: Barely. I was so scared.
como0206	Dave: How much did you get done?
como0207	Gaurav: Uh, I think almost all the geometry. In some cases it used to be an overnight render.
como0301	Tim: I love pneumatic tubes! If you ever read articles about old New York, there's a lot of stuff about how the tube system was... There was an interbuilding tube system, too.
como0302	Peter M: Oh, really?
como0303	Tim: I don't know how that could possibly work! And the tubes were sixteen inches in diameter, and they would shoot pneumatic messages, like, they'd push them between buildings. Now those tubes are there. They're thinking about using them for fiber-optics and stuff like that.
coos0101	Tim: I love that mural 'cause it's the three ways of travelling in the Land of the Dead: the car, the train, and the boat. There's no air travel in the Land of the Dead. No "Land of the Dead Airlines."
copk0101	Alex: Down in QA, we got on the project way, way earlier than we ever had on any other project and we would play the game with the concept art on the screen. But Manny was modeled, and done, and lit... Well, maybe he wasn't lit, I don't know, but he would zoom around the concept art, and it was all black and white. And uh, that's why I was...
copk0102	Paul: Oh, that would be neat!
copk0103	Alex: Yeah.
cost0101	Dave: I think the camera choices in this game were actually pretty fantastic as well. I don't know who was responsible for that. Was it storyboarded or...
cost0102	Mark: Was that you, Pete?
cost0103	Peter T: Yeah, probably. A little bit. A lot of stuff got worked out ahead of time, certainly. I mean because, you know, we didn't necessarily build full three-sixty 3-D worlds. I mean except for like the offices and stuff.
cotu0101	Dave: You know, the games we make nowadays we try to keep them real-time. And the environments will come in the tens of thousands of polygons, probably. But, uh, or at least under a hundred, I would say at least at the TellTale studio. But here they I think were almost unlimited, unless it crashed the machines all the time.
cotu0102	Peter T: Yes, it was unlimited, and it was like trying to render it on your iPhone, which was crazy.
cotu0103	Mark: He modeled like every single nut and bolt everywhere in there, and they were all high-res.
cotu0104	Gaurav: Yeah, I was about to say a certain amount of this was us not--
cotu0105	Dave: "It might get a close-up!"
cotu0106	Gaurav: ... really knowing and us not being efficient about how we set everything up.
cotu0107	Mark: As an animator, when you open one of these environments to animate in, you had to basically throw everything away except for the one thing that Manny touches or walks next to or something.
cobv0101	Bret: This scene, actually, this is, uh-- The beavers here are another good example of like, you know, why you have to have coroutines in games because, you--at least, in adventure games. You have to have like a script that just says, "How's this beaver going to behave? What's he going to do?" And at the time that people were making games, scripting engines weren't popular yet, you had a lot of games in C [programming language]. And somebody would've been trying to write in their game engine, in their game loop, "And go run the beavers now." In a scene like this you had to be able to take that and say, "This is how a beaver behaves. Right now I'm thinking like a beaver. How would a beaver-- He's going to crawl over here, he's going to chew on these things. Then he'll get tired, then he'll jump over here." Same thing with the pigeons and everything else. And that, again, I didn't have to think about the fact that they were needed. They were obviously needed. I mean, that's one of the things that SCUMM had made very obvious, like, you cannot make adventure games without coroutines. They didn't even call them coroutines, though. I mean, we didn't even know what to call them for a long time until--
cobv0102	Kevin: Threads.
cobv0103	Bret: They were just threads, yeah. And actually, well that was one of the early experiments. I actually tried to use actual Windows threads. 'cause this was a Windows game; it wasn't a DOS game. This was a Windows game. We can use actual threads! I initially did try and actually have different Lua threads, and it was like, it was just so heavyweight. Machines are so tight and it was so much overhead. And it was so complex. It was like, we need something lightweight. It needs to be really focused on what the game does.
cobv0201	Lleslle: This one was, um--
cobv0202	Julian: How could you ever cut this?
cobv0203	Lleslle: I know, but programmatically it was buggy. And it caused-- It was hard. No one understood how to solve this puzzle for quite a long time. And so I was like, "Look, you gotta pick something," and we hadn't started it yet. So this is a classic Tim technique. When you want to cut something, he will start putting it in the game. So that everything gets in. So, uh, yeah. Funny, funny.
cobv0301	Tim: They were-- We were like, "Where is the fire-- What is the flame source for the beavers?" And they were like, "Well, they have a nuclear core." They have a nuclear core. So they're thermonuclear flaming bone beavers.
cobv0302	Peter M: Yeah, you know, I have to say. Flaming bone beavers. I mean--
cobv0303	Tim: You would think that would be controversial. A band? A band name.
cobv0304	Peter M: Maybe, yeah.
cobd0101	Tim: I still remember writing a big justification about tank controls when I was pitching this. People were like, "Let's make it so the controls are more like Mario." Where you push-- No, no, point-and-click. I was thinking-- Tank controls I thought were superior to point-and-click at the time because when you're pointing and clicking you're distant from the screen, and the screen is this other thing that you're interacting with at your finger tips.
cobd0102	Peter M: Right, you're seeing--
cobd0103	Tim: But when you're doing tank controls, you feel like you are in the center of the character. The world is rotating around you. So when you think-- Instead of going, "I want to go on the left of the screen" or "I want to go on the right of the screen," you're saying, "I want to look at the thing to the left of me, and the thing to the right of me." And now I don't know if that was necessarily the right decision, but it's a good piece of evidence that you can somehow, sometimes make a really good argument for the wrong decision, and that's something to watch out for in life. You know what I mean? You can make a really compelling [case], and in fact win an argument, and be totally wrong.
cobd0104	Peter M: Winning an argument has nothing to do with being right, that's for sure.
cobd0105	Tim: Exactly, exactly. It's just being able to make a good case.
cotu0201	Tim: This line that he says a lot actually comes from the old IT guy at LucasArts. We'd say, "Hey, the server's down." And he goes, "The server's not down. It's never down. You just can't get to it right now."
cona0101	Lleslle: Well, this is the area that Tim and I would make a lot of jokes about because, you know. Producer-type person, I need to shorten the game. Cut it somehow. So this area, I would say, "Hey, we need to cut... the beavers. Does that make sense?"
cona0102	Julian: He's like, "No way, not cutting it."
cona0103	Lleslle: Well, he-- The whole time we'd fight about it, and it was that one kind of thing where, um... That was the story I told a little earlier, about the ship, you know? He said, "Lleslle, a game is like a ship, and the ship is going, and it's going to keep going until it stops." And I was like, what kind of logic is that? It has to finish at some point. So I was like, "Look, the beavers gotta go." They'd always be on the list. And he actually drew me little pictures on a napkin of, like, the armadillo, the beavers on fire. And he's like, "Why did you cut me, Lleslle? Please don't cut me, Lleslle." And he would just poke me.
cona0104	Julian: That's so funny.
cona0105	Lleslle: Yeah.
colb0101	Tim: This is like a callback to, um, "Those Brave Young Men and Their Jaunty Jalopies." You ever see that movie? "Those Outrageous Young Men and Their Flying Machines."
colb0102	Peter M: Oh, that I remember.
colb0103	Tim: They're these two crazy movies from the sixties, which were all about-- It was kind of like the "Wacky Races," but a real life version--
colb0104	Peter M: [singing] "Those magnificent men and their flying machines, ey!"
colb0105	Tim: It was kind of like "Wild, Wild, Wild World," or whatever--
colb0106	Peter M: "It's a Mad, Mad, Mad, Mad World."
colb0107	Tim: Where all these people are chasing some crazy prize. But the cars in it always had things like that. I think that is a direct lift. Like, one of the cars would have these hydraulic shocks that lifted up, or just crazy extending things.
colr0101	Tim: What is this crazy music? How did you get it all warp-sounding?
colr0102	Peter M: Well, that's a great... See, remember that when I did all the themes for "Grim" I carried around a little handheld cassette, right? So I'd go for my hike in the hills in the morning and I'd carry my little cassette with me and if something popped in my head I would hum into it.
colr0103	Tim: And it dropped into a puddle?
colr0104	Peter M: Well, those cassettes... I don't know if you remember much about cassette technology, 'cause, you know--
colr0105	Tim: I remember cassettes. I made some mixtapes.
colr0106	Peter M: They didn't always last--especially the little, tiny ones--didn't last for a super long time. So if you used it all the time, which I did to compose, the machine heads--the mechanism--would start to wear out. Especially if it ran low on batteries. So yeah, that was me sitting at the piano, working on that theme for the Land of the Living which I recorded on a little handheld cassette, and then played it back with batteries that were running out. And recorded that into the digital system.
colr0107	Tim: That's awesome. Was that an accident at first? It ran out of power at an earlier time, writing something else?
colr0108	Peter M: You know, I can't remember. I think it was an accident, but I kind of meant to do it, too.
colr0201	Tim: In the Land of the Living, the people look horrifying because of that-- Have you ever seen that optical illusion where you take a picture of someone from a magazine, you cut rectangles out of their eyes and their mouth, and then turn them upside down? And they just look like demons.
colr0202	Peter M: Oh, yeah, yeah. Totally.
colr0203	Tim: That's the Land of the Living.
codo0101	Bret: There's a scene here. So there's the wine bottle there on the side. Or sorry, the bourbon bottle. And there's the taking a slug of his booze. That was actually-- We had lots of math problems early in the game where we were lining up camera angles, like you mentioned. These camera angles, if we had it off between the real-time and the pre-rendered stuff, things got kind of messy. That was one of the first scenes we had where Manny as one character goes and interacts with another item in the scene, and it also has to be placed very precisely in the scene because it has to appear to be on the shelf. And it was really difficult to coordinate, you know. He has to walk to exactly the right spot, line up to perform his animation. The cup has its own animation of flying through the air to his mouth. There's all these weird ways we handled it. I think we changed that later to handle it better, so that the cup was actually attached, we could swap it in. Blank out the one that was on the shelf, put in the one that was in his hand. It's like a magic trick. Originally, that was something we used to test it out and make it work. It was-- I remember spending days on that. Just being worried like, "Oh man, we're never going to get this to align perfectly between 2-D and 3-D."
codo0201	Peter T: I remember something about the mural. This would be the mural in, uh... What's that guy's name? The nemesis's office.
codo0202	Dave: Domino?
codo0203	Peter T: Domino, yeah. The mural on the ceiling of Domino's office. There was something. I think maybe that angle wasn't planned or something in the game, and then whoever did the textures for that room put this crazy mural on there. And so it was like, "We have to show the mural! We have to get that up there." I remember there was some sort of fiasco around that mural.
codo0204	Dave: Usually, it's the other way around. Usually artists put a bunch of beautiful work into something and then someone turns the camera the other way and doesn't show it.
codo0205	Paul: Right, exactly.
codo0301	Tim: How is he sweating without skin? So inaccurate. Tried to get it really accurate with the punching. You know: left, left, right, right, left, left, right... I think that's how you do it. Well, you don't just do one, two, one, two with the speed bag.
codo0302	Peter M: Yeah, I think you're right. Yeah it looks--
codo0303	Tim: In my boxing history.
codo0304	Peter M: My grandpa used to have a boxing bag in his basement. He showed me how it works once.
cosm0101	Darragh: That line right there, "Love is for the living. I'm only after her for one reason. She's my ticket out of here," that was the key line that Tony and I would always go back to, that kind of identified who that character was. The idea with Manny being a Hispanic Humphrey Bogart-- That line evoked "Casablanca" in many ways and, um, that was kind of just... We worked on that line longer than we should have. But it was just one of those that we just felt was important to kind of nail and help define Manny.
cosm0102	Clint: And you could see Pete's musical treatment of it. He kind of suspended the music, and had this little classical guitar melody that had a feeling of being like a pocket in time, to further highlight that line, yeah.
cogs0101	Tim: I never realized how weird it was that he gets locked into a room by his boss, which I don't think is legal.
cogs0102	Peter M: Oh, you know back in the thirties you could do all kinds of stuff. You know, rubber hoses for cops and so on. It was just fifty years after the Old West.
cogs0103	Tim: Whoa, that's weird to think about.
cogs0104	Peter M: Yeah.
cohq0101	Peter T: There's some concept art there in the PowerPoint.
cohq0102	Paul: Yeah, 'cause I remember I just took [Peter Chan's] stuff and, like, inverted it to make it look like a plan.
cohq0103	Peter T: Oh, really? You took someone else's textures and reused them.
cohq0104	Paul: Great artists borrow... No, wait. Good artists steal. Um, yeah.
cohq0201	Tim: Oh, the secretary has a dual identity! It's always lots of fun with dual identities. I like that Eva gets to have a little, like, um... She's got more going on that you thought she did.
cohq0202	Peter M: I love that, too. And I like that there's something fishy in the Department of Death, too. That's a good twist.
como0101	Darragh: This is one of the scenes where we had Tony and Maria Canals in working together. They're both from Cuba and had worked together before they were cast in Grim. So it was kind of fun to get the two of them together again and play off of each other, which is of course the way you'd like to do any game.
corf0101	Tim: I used to work at a doctor's office, and one of the jobs-- Just terrible jobs there. And one of them was the roof was covered in, like, six inches of pigeon guano up there. They had a flat roof like the roof of this building. And they're like, "Look, we gotta get that stuff off the roof. It's really, it's going to break the roof. There's so much pigeon crap on the roof." And I had to go up there with this flat shovel. It was kind of like cutting brownies out of a pan. I was just chopping up the bird poop and just scooping it up and throwing it off the roof. But in chopping it up I would occasionally find, like in sedimentary rock, like an archaeologist or a paleontologist, I would find the bones of a dead pigeon just inside this weird brownie of guano on the roof.
corf0102	Peter M: Wow.
corf0103	Tim: So I had my fair share of bad jobs.
corf0104	Peter M: This really, this was really a kind of therapy to get that traumatic experience--
corf0105	Tim: Yeah, there's not enough poop on the roof to make this really--
corf0106	Peter M: Well, it's hard to indicate that with the technology of the time. Kind of just like-- It's like if you did wind in a 8-bit game it just sounded like [8-bit wind noise]. It just sounded bad, you know.
corf0107	Tim: At least I got to clear the pigeons from the roof of my memories.
core0101	Tim: I really wanted to have this moment of Velasco bonding with Glottis through the magic of cars, talking about engines and stuff...
core0102	Tim: Cars bring people together. Talking about engines.
core0103	Tim: Because I never had sports--
core0104	Peter M: Internal combustion...
core0105	Tim: I never liked sports. I was not into the manly unifier of sports, but--
core0106	Peter M: Me neither.
core0107	Tim: Cars you can talk about with the toughest of dudes.
core0108	Peter M: That's true, that's true.
cori0101	Darragh: The character Celso is played by a really funny actor called Peter Lurie. When he came into the studio, the first day, he had this real look of apprehension about him. It turned out the word in Hollywood was that "Grim Fandango" was code name for "Star Wars: Episode I" casting. So when he was coming in for the project people were telling him, "You're going to be going in, and George Lucas is going to be there. They're going to be flying you up to the ranch!" He was terribly disappointed when he walked in and the only person in the studio was me.
cori0201	Peter M: When you run into Celso Flores again and there's that-- You know, he's always down and out and he's listening to this music on the radio while he's working, which is actually Hector's music. All of the-- Most of the jazz pieces are some variation on Hector's theme, and they're being piped in everywhere. Like every time you listen to something on the radio it's actually Hector's music and it's sort of this idea that Hector is behind everything and in control of all the-- Pulling all the strings of commerce, and then here's this little guy. Celso's mopping the floor and with this reminder that he's just a little guy in a big world with these big forces.
cori0202	Tim: That's awesome.
cori0203	Peter M: Does that sound too philosophical?
cori0204	Tim: I think that works on a primal level. I don't think I was conscious of that, but I think it was working.
cori0301	Tim: I love the tiling floor. It's my favorite part in this one. And the fact that it's a automat, which was part of a period reference, too. Like those ways that you-- There used to be these restaurants in New York where you'd go--or big cities--where you'd go in and the food was ready for you behind these little panels, and you would just open the door and take it. Which is an interesting way of serving stuff. Like just separate the server from the eater, I guess? I don't know.
cori0302	Peter M: Oh, that is, I never--
cori0303	Tim: Like you don't want to see the wait staff, so they're behind this wall, because of some weird social reason.
cori0304	Peter M: That is weird.
cori0305	Tim: And they didn't really have automats anymore, but I always thought that's what was behind that.
